Habitat,Year,Sector,Taxa,Intercept
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,40
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,14
Crest,1995,1,Faviidae,61
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,10
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,26
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,19
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,1
Crest,1995,1,Faviidae,16
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,39
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,20
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,10
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,7
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,22
Crest,1995,1,Faviidae,17
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,28
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,49
Crest,1995,1,Faviidae,7
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,7
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,40
Crest,1995,1,Faviidae,15
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,22
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,10
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,21
Crest,1995,1,Faviidae,7
Crest,1995,1,Faviidae,25
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,7
Crest,1995,1,Faviidae,20
Crest,1995,1,Faviidae,22
Crest,1995,1,Faviidae,23
Crest,1995,1,Faviidae,14
Crest,1995,1,Faviidae,21
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,28
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,14
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,14
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,39
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,7
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,20
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,22
Crest,1995,1,Faviidae,16
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,49
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,13
Crest,1995,1,Faviidae,9
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,13
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,8
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,22
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,11
Crest,1995,1,Faviidae,12
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,3
Crest,1995,1,Faviidae,25
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,6
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,2
Crest,1995,1,Faviidae,5
Crest,1995,1,Faviidae,4
Crest,1995,1,Faviidae,3
