"colony_id","spp","species","year","area_cm2","competition_id","competition_number","competition_outliner_name","competition_taxon","competition_growthform","competition_length_cm","competition","competition_type","competition_outcome"
1,"AC","Acropora cytherea",2009,843.522517038649,3704,1,"Theo","Acropora","Branching",11.45197451,"certain","Overtop","lost"
1,"AC","Acropora cytherea",2009,843.522517038649,3705,2,"Theo","Favid","Massive",28.84027865,"certain","Digestion","lost"
1,"AC","Acropora cytherea",2009,843.522517038649,3706,3,"Theo","Isopora","Cuneiform",2.804565185,"uncertain","Overtop","lost"
1,"AC","Acropora cytherea",2010,2086.63891737069,3710,4,"mariana","Favid","Massive",11.5052137,"certain","Overtop","won"
1,"AC","Acropora cytherea",2010,2086.63891737069,3708,2,"mariana","Favid","Massive",9.244363843,"certain","Digestion","lost"
1,"AC","Acropora cytherea",2010,2086.63891737069,3709,3,"mariana","Isopora","Cuneiform",2.5622965,"certain","Overtop","lost"
1,"AC","Acropora cytherea",2010,2086.63891737069,3707,1,"mariana","Acropora","Branching",9.194122735,"certain","Overtop","lost"
1,"AC","Acropora cytherea",2011,3688.75932532154,13,5,"mariana","Isopora","Cuneiform",10.78246215,"certain","Overtop","won"
1,"AC","Acropora cytherea",2011,3688.75932532154,10,2,"mariana","Porites","Encrusting",5.769563079,"certain","Digestion","lost"
1,"AC","Acropora cytherea",2011,3688.75932532154,12,4,"mariana","Isopora","Cuneiform",10.07308964,"certain","Overtop","lost"
1,"AC","Acropora cytherea",2011,3688.75932532154,11,3,"mariana","Favid","Massive",7.897680608,"certain","Digestion","lost"
1,"AC","Acropora cytherea",2011,3688.75932532154,14,6,"mariana","Pocilloporid","Corymbose",6.809976093,"certain","Overtop","won"
1,"AC","Acropora cytherea",2011,3688.75932532154,15,7,"mariana","Favid","Massive",17.16681473,"uncertain","Overtop","won"
1,"AC","Acropora cytherea",2011,3688.75932532154,9,1,"mariana","Pocilloporid","Corymbose",20.47721978,"uncertain","Overtop","won"
1,"AC","Acropora cytherea",2012,1187.28379838952,19,4,"mariana","Poritid","Encrusting",1.640892959,"uncertain","Overtop","won"
1,"AC","Acropora cytherea",2012,1187.28379838952,18,3,"mariana","Favid","Massive",10.45309588,"uncertain","Overtop","won"
1,"AC","Acropora cytherea",2012,1187.28379838952,16,1,"mariana","Montipora","Encrusting",8.690655299,"certain","Overtop","won"
1,"AC","Acropora cytherea",2013,586.723768626543,4463,1,"mariana","Poritid","Encrusting",NA,"certain","Overtop","won"
2,"AC","Acropora cytherea",2009,1096.08870470905,3712,2,"mariana","Soft coral","Encrusting",3.254933885,"uncertain","Overtop","won"
2,"AC","Acropora cytherea",2009,1096.08870470905,3711,1,"mariana","Acropora","Tabular",65.85428735,"certain","Overtop","lost"
2,"AC","Acropora cytherea",2009,1096.08870470905,3714,4,"mariana","Soft coral","Encrusting",16.73965998,"certain","Overtop","won"
2,"AC","Acropora cytherea",2009,1096.08870470905,3713,3,"mariana","Hydrocoral","Encrusting",1.976209859,"uncertain","Overtop","won"
2,"AC","Acropora cytherea",2010,1687.65883128019,28,5,"mariana","Acropora","Corymbose",6.635018621,"certain","Overtop","won"
2,"AC","Acropora cytherea",2010,1687.65883128019,25,2,"mariana","Acropora","Tabular",7.999667841,"certain","Overtop","won"
2,"AC","Acropora cytherea",2010,1687.65883128019,27,4,"mariana","Acropora","Tabular",50.44496427,"certain","Overtop","lost"
2,"AC","Acropora cytherea",2010,1687.65883128019,24,1,"mariana","Acropora","Tabular",22.11672874,"certain","Overtop","won"
2,"AC","Acropora cytherea",2010,1687.65883128019,26,3,"mariana","Soft coral","Digitate",9.928999496,"certain","Overtop","lost"
3,"AC","Acropora cytherea",2009,453.869585250704,29,1,"mariana","Acropora","Corymbose",56.88683964,"certain","Overtop","lost"
3,"AC","Acropora cytherea",2009,453.869585250704,30,2,"mariana","Poritid","Encrusting",4.623112835,"uncertain","Overtop","won"
3,"AC","Acropora cytherea",2009,453.869585250704,31,3,"mariana","Favid","Massive",5.807080756,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3735,10,"mariana","Isopora","Cuneiform",2.008886861,"certain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3727,2,"mariana","Acropora","Tabular",7.642504361,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2009,3112.10820941289,3733,8,"mariana","Isopora","Cuneiform",0.917100523,"uncertain","Overtop","lost"
4,"AC","Acropora cytherea",2009,3112.10820941289,3726,1,"mariana","Acropora","Tabular",8.38491907,"certain","Digestion","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3732,7,"mariana","Pocilloporid","Digitate",4.323473896,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3731,6,"mariana","Soft coral","Cuneiform",2.576615756,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3728,3,"mariana","Pocilloporid","Corymbose",17.38123849,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2009,3112.10820941289,3729,4,"mariana","Acropora","Tabular",3.362701919,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2009,3112.10820941289,3734,9,"mariana","Isopora","Cuneiform",2.969658837,"certain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3739,14,"mariana","Favid","Massive",14.49892256,"uncertain","Digestion","lost"
4,"AC","Acropora cytherea",2009,3112.10820941289,3736,11,"mariana","Acropora","Corymbose",20.91862622,"certain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3738,13,"mariana","Favid","Massive",4.454488256,"certain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3730,5,"mariana","Isopora","Cuneiform",4.76018843,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3740,15,"mariana","Pocilloporid","Corymbose",3.886759361,"certain","Overtop","won"
4,"AC","Acropora cytherea",2009,3112.10820941289,3737,12,"mariana","Isopora","Cuneiform",10.52482029,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,312,2,"mariana","Acropora","Tabular",31.0593121,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2010,3623.33254165368,318,8,"mariana","Isopora","Cuneiform",30.9705712,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,311,1,"mariana","Acropora","Tabular",7.365494011,"certain","Digestion","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,320,10,"mariana","Acropora","Corymbose",39.48969681,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,317,7,"mariana","Acropora","Tabular",5.102601273,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,319,9,"mariana","Isopora","Cuneiform",1.952299617,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,325,15,"mariana","Favid","Massive",3.993340127,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,322,12,"mariana","Favid","Massive",5.856898852,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,313,3,"mariana","Pocilloporid","Corymbose",20.41040509,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2010,3623.33254165368,314,4,"mariana","Acropora","Tabular",13.62172688,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2010,3623.33254165368,315,5,"mariana","Soft coral","Encrusting",1.641706496,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,316,6,"mariana","Pocilloporid","Corymbose",11.00387057,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,321,11,"mariana","Isopora","Cuneiform",23.47196585,"certain","Overtop","won"
