"id","year","species","spp","colony","egg","Carbon_ug_corrected","Nitrogen_ug","comment","area_cm2"
"F7_AC248",2013,"Acropora cytherea","AC",248,2,41.2,1.83,"",9996.805273
"F7_AC248",2013,"Acropora cytherea","AC",248,3,41.2,1.41,"",9996.805273
"F7_AC248",2013,"Acropora cytherea","AC",248,1,43.2,1.51,"",9996.805273
"F7_AC248",2013,"Acropora cytherea","AC",248,4,37.9,1.5,"",9996.805273
"F7_AC248",2013,"Acropora cytherea","AC",248,5,43.5,1.58,"",9996.805273
"F7_AC720",2013,"Acropora cytherea","AC",720,1,41.4,1.5,"",13559.44295
"F7_AC720",2013,"Acropora cytherea","AC",720,4,44.6,1.78,"",13559.44295
"F7_AC720",2013,"Acropora cytherea","AC",720,2,42.4,1.43,"",13559.44295
"F7_AC720",2013,"Acropora cytherea","AC",720,5,45.6,1.8,"",13559.44295
"F7_AC720",2013,"Acropora cytherea","AC",720,3,44.8,1.73,"",13559.44295
"F7_AD581",2013,"Acropora cf. digitifera","AD",581,3,33.6,1.26,"",665.7023807
"F7_AD581",2013,"Acropora cf. digitifera","AD",581,4,33.8,1.29,"",665.7023807
"F7_AD581",2013,"Acropora cf. digitifera","AD",581,5,31.7,1.13,"",665.7023807
"F7_AD581",2013,"Acropora cf. digitifera","AD",581,1,33,1.27,"",665.7023807
"F7_AD581",2013,"Acropora cf. digitifera","AD",581,2,29.9,1.16,"",665.7023807
"F7_AD713",2013,"Acropora cf. digitifera","AD",713,4,34.7,1.41,"",235.6718652
"F7_AD713",2013,"Acropora cf. digitifera","AD",713,2,35.5,1.31,"",235.6718652
"F7_AD713",2013,"Acropora cf. digitifera","AD",713,3,33.6,1.17,"",235.6718652
"F7_AD713",2013,"Acropora cf. digitifera","AD",713,1,31.4,1,"",235.6718652
"F7_AD713",2013,"Acropora cf. digitifera","AD",713,5,31.2,1.12,"",235.6718652
"F7_AD714",2013,"Acropora cf. digitifera","AD",714,4,32.1,1.31,"",981.3177015
"F7_AD714",2013,"Acropora cf. digitifera","AD",714,5,42.1,1.62,"",981.3177015
"F7_AD714",2013,"Acropora cf. digitifera","AD",714,2,40.2,1.04,"",981.3177015
"F7_AD714",2013,"Acropora cf. digitifera","AD",714,3,36.5,1.25,"",981.3177015
"F7_AD714",2013,"Acropora cf. digitifera","AD",714,1,40.2,1.37,"",981.3177015
"F7_AH663",2013,"Acropora hyacinthus","AH",663,3,34.9,1.51,"",601.8292133
"F7_AH663",2013,"Acropora hyacinthus","AH",663,4,39.1,1.37,"",601.8292133
"F7_AH663",2013,"Acropora hyacinthus","AH",663,5,34.3,1.18,"",601.8292133
"F7_AH663",2013,"Acropora hyacinthus","AH",663,1,37.1,1.3,"",601.8292133
"F7_AH663",2013,"Acropora hyacinthus","AH",663,2,41.4,1.58,"",601.8292133
"F7_AH725",2013,"Acropora hyacinthus","AH",725,4,49.7,1.78,"",8337.208804
"F7_AH725",2013,"Acropora hyacinthus","AH",725,2,49.8,1.77,"",8337.208804
"F7_AH725",2013,"Acropora hyacinthus","AH",725,3,43.9,1.89,"",8337.208804
"F7_AH725",2013,"Acropora hyacinthus","AH",725,1,42.2,0.93,"",8337.208804
"F7_AH725",2013,"Acropora hyacinthus","AH",725,5,42.8,1.39,"",8337.208804
"F7_AI506",2013,"Acropora intermedia","AI",506,2,48.1,1.67,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,1,47,1.62,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,1,42.1,1.26,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,3,42.6,1.39,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,4,45.9,1.56,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,5,49.6,1.79,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,4,47.1,1.8,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,2,39.7,1.33,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,5,39.4,1.58,"",1403.205695
"F7_AI506",2013,"Acropora intermedia","AI",506,3,44.2,1.5,"",1403.205695
"F7_AI511",2013,"Acropora intermedia","AI",511,4,35.1,0.94,"",208.9813897
"F7_AI511",2013,"Acropora intermedia","AI",511,5,32,1.03,"",208.9813897
"F7_AI511",2013,"Acropora intermedia","AI",511,1,28.3,0.86,"",208.9813897
"F7_AI511",2013,"Acropora intermedia","AI",511,2,29.3,1.04,"",208.9813897
