"id","year","observer","species","spp","colony","branch","polyp","eggs","area_cm2","reproductive"
"F10_GP01",2016,"CY","Goniastrea pectinata","GP",1,NA,4,0,43.51849896,0
"F10_GP01",2016,"CY","Goniastrea pectinata","GP",1,NA,2,0,43.51849896,0
"F10_GP01",2016,"CY","Goniastrea pectinata","GP",1,NA,1,0,43.51849896,0
"F10_GP01",2016,"CY","Goniastrea pectinata","GP",1,NA,3,0,43.51849896,0
"F10_GP01",2016,"CY","Goniastrea pectinata","GP",1,NA,6,0,43.51849896,0
"F10_GP01",2016,"CY","Goniastrea pectinata","GP",1,NA,5,0,43.51849896,0
"F10_GP02",2016,"CY","Goniastrea pectinata","GP",2,NA,4,0,36.01443717,0
"F10_GP02",2016,"CY","Goniastrea pectinata","GP",2,NA,2,0,36.01443717,0
"F10_GP02",2016,"CY","Goniastrea pectinata","GP",2,NA,1,0,36.01443717,0
"F10_GP02",2016,"CY","Goniastrea pectinata","GP",2,NA,3,0,36.01443717,0
"F10_GP02",2016,"CY","Goniastrea pectinata","GP",2,NA,5,0,36.01443717,0
"F10_GP02",2016,"CY","Goniastrea pectinata","GP",2,NA,6,0,36.01443717,0
"F10_GP03",2016,"CY","Goniastrea pectinata","GP",3,NA,2,0,16.67082203,0
"F10_GP03",2016,"CY","Goniastrea pectinata","GP",3,NA,5,0,16.67082203,0
"F10_GP03",2016,"CY","Goniastrea pectinata","GP",3,NA,6,0,16.67082203,0
"F10_GP03",2016,"CY","Goniastrea pectinata","GP",3,NA,4,0,16.67082203,0
"F10_GP03",2016,"CY","Goniastrea pectinata","GP",3,NA,3,0,16.67082203,0
"F10_GP03",2016,"CY","Goniastrea pectinata","GP",3,NA,1,0,16.67082203,0
"F10_GP04",2016,"CY","Goniastrea pectinata","GP",4,NA,4,4,38.94890693,1
"F10_GP04",2016,"CY","Goniastrea pectinata","GP",4,NA,2,9,38.94890693,1
"F10_GP04",2016,"CY","Goniastrea pectinata","GP",4,NA,1,39,38.94890693,1
"F10_GP04",2016,"CY","Goniastrea pectinata","GP",4,NA,3,72,38.94890693,1
"F10_GP04",2016,"CY","Goniastrea pectinata","GP",4,NA,6,13,38.94890693,1
"F10_GP04",2016,"CY","Goniastrea pectinata","GP",4,NA,5,84,38.94890693,1
"F10_GP05",2016,"CY","Goniastrea pectinata","GP",5,NA,4,0,35.77196255,0
"F10_GP05",2016,"CY","Goniastrea pectinata","GP",5,NA,3,0,35.77196255,0
"F10_GP05",2016,"CY","Goniastrea pectinata","GP",5,NA,1,0,35.77196255,0
"F10_GP05",2016,"CY","Goniastrea pectinata","GP",5,NA,6,0,35.77196255,0
"F10_GP05",2016,"CY","Goniastrea pectinata","GP",5,NA,2,0,35.77196255,0
"F10_GP05",2016,"CY","Goniastrea pectinata","GP",5,NA,5,0,35.77196255,0
"F10_GR01",2016,"CY","Goniastrea retiformis","GR",1,NA,2,0,11.76026671,0
"F10_GR01",2016,"CY","Goniastrea retiformis","GR",1,NA,6,0,11.76026671,0
"F10_GR01",2016,"CY","Goniastrea retiformis","GR",1,NA,1,0,11.76026671,0
"F10_GR01",2016,"CY","Goniastrea retiformis","GR",1,NA,5,0,11.76026671,0
"F10_GR01",2016,"CY","Goniastrea retiformis","GR",1,NA,4,0,11.76026671,0
"F10_GR01",2016,"CY","Goniastrea retiformis","GR",1,NA,3,0,11.76026671,0
"F10_GR02",2016,"CY","Goniastrea retiformis","GR",2,NA,5,0,80.89907998,0
"F10_GR02",2016,"CY","Goniastrea retiformis","GR",2,NA,2,0,80.89907998,0
"F10_GR02",2016,"CY","Goniastrea retiformis","GR",2,NA,4,0,80.89907998,0
"F10_GR02",2016,"CY","Goniastrea retiformis","GR",2,NA,1,0,80.89907998,0
"F10_GR02",2016,"CY","Goniastrea retiformis","GR",2,NA,3,0,80.89907998,0
"F10_GR02",2016,"CY","Goniastrea retiformis","GR",2,NA,6,0,80.89907998,0
"F10_GR03",2016,"CY","Goniastrea retiformis","GR",3,NA,6,3,61.57410684,1
"F10_GR03",2016,"CY","Goniastrea retiformis","GR",3,NA,3,17,61.57410684,1
"F10_GR03",2016,"CY","Goniastrea retiformis","GR",3,NA,1,15,61.57410684,1
"F10_GR03",2016,"CY","Goniastrea retiformis","GR",3,NA,5,4,61.57410684,1
"F10_GR03",2016,"CY","Goniastrea retiformis","GR",3,NA,4,2,61.57410684,1
"F10_GR03",2016,"CY","Goniastrea retiformis","GR",3,NA,2,17,61.57410684,1
"F10_GR04",2016,"CY","Goniastrea retiformis","GR",4,NA,6,3,31.85486575,1
"F10_GR04",2016,"CY","Goniastrea retiformis","GR",4,NA,4,7,31.85486575,1
"F10_GR04",2016,"CY","Goniastrea retiformis","GR",4,NA,2,2,31.85486575,1
"F10_GR04",2016,"CY","Goniastrea retiformis","GR",4,NA,1,0,31.85486575,0
"F10_GR04",2016,"CY","Goniastrea retiformis","GR",4,NA,3,1,31.85486575,1
"F10_GR04",2016,"CY","Goniastrea retiformis","GR",4,NA,5,0,31.85486575,0
"F10_GR05",2016,"CY","Goniastrea retiformis","GR",5,NA,6,0,35.35603472,0
"F10_GR05",2016,"CY","Goniastrea retiformis","GR",5,NA,2,0,35.35603472,0
"F10_GR05",2016,"CY","Goniastrea retiformis","GR",5,NA,1,0,35.35603472,0
"F10_GR05",2016,"CY","Goniastrea retiformis","GR",5,NA,5,0,35.35603472,0
"F10_GR05",2016,"CY","Goniastrea retiformis","GR",5,NA,4,0,35.35603472,0
"F10_GR05",2016,"CY","Goniastrea retiformis","GR",5,NA,3,0,35.35603472,0
"F10_GR06",2016,"CY","Goniastrea retiformis","GR",6,NA,4,0,18.96558201,0
"F10_GR06",2016,"CY","Goniastrea retiformis","GR",6,NA,3,0,18.96558201,0
"F10_GR06",2016,"CY","Goniastrea retiformis","GR",6,NA,2,0,18.96558201,0
"F10_GR06",2016,"CY","Goniastrea retiformis","GR",6,NA,6,0,18.96558201,0
"F10_GR06",2016,"CY","Goniastrea retiformis","GR",6,NA,5,0,18.96558201,0
"F10_GR06",2016,"CY","Goniastrea retiformis","GR",6,NA,1,0,18.96558201,0
"F10_GR07",2016,"CY","Goniastrea retiformis","GR",7,NA,5,0,43.70950048,0
"F10_GR07",2016,"CY","Goniastrea retiformis","GR",7,NA,6,4,43.70950048,1
"F10_GR07",2016,"CY","Goniastrea retiformis","GR",7,NA,1,0,43.70950048,0
"F10_GR07",2016,"CY","Goniastrea retiformis","GR",7,NA,2,0,43.70950048,0
"F10_GR07",2016,"CY","Goniastrea retiformis","GR",7,NA,4,6,43.70950048,1
"F10_GR07",2016,"CY","Goniastrea retiformis","GR",7,NA,3,0,43.70950048,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"3",1,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"4",6,0,2786.464424,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"4",2,0,2786.464424,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"2",6,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"4",4,0,2786.464424,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"2",2,7,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"3",3,5,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"3",2,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"4",3,0,2786.464424,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"4",1,0,2786.464424,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"1",4,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"1",3,5,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"4",5,0,2786.464424,0
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"3",6,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"3",4,7,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"3",5,7,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"2",1,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"1",5,5,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"1",1,5,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"1",6,5,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"2",3,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"2",5,7,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"2",4,6,2786.464424,1
"F3_AC01",2009,"James Tan","Acropora cytherea","AC",1,"1",2,5,2786.464424,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"3",2,5,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"1",4,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"3",1,6,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"4",6,6,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"2",3,6,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"1",2,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"2",4,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"2",2,6,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"4",5,6,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"1",3,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"1",1,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"4",1,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"2",5,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"4",4,4,2464.966388,1
"F3_AC02",2009,"James Tan","Acropora cytherea","AC",2,"1",5,4,2464.966388,1
