"colony_id","spp","species","year","area_cm2","area_cm2_next"
1,"AC","Acropora cytherea",2009,843.522517038649,2086.63891737069
1,"AC","Acropora cytherea",2010,2086.63891737069,3688.75932532154
1,"AC","Acropora cytherea",2011,3688.75932532154,1187.28379838952
1,"AC","Acropora cytherea",2012,1187.28379838952,586.723768626543
2,"AC","Acropora cytherea",2009,1096.08870470905,1687.65883128019
4,"AC","Acropora cytherea",2009,3112.10820941289,3623.33254165368
6,"AC","Acropora cytherea",2009,819.876046353304,688.219690108725
6,"AC","Acropora cytherea",2010,688.219690108725,832.732262537727
6,"AC","Acropora cytherea",2011,832.732262537727,300.45309260087
7,"AC","Acropora cytherea",2009,211.232706634816,672.322509469943
7,"AC","Acropora cytherea",2010,672.322509469943,848.363524614938
7,"AC","Acropora cytherea",2011,848.363524614938,990.256146500937
7,"AC","Acropora cytherea",2012,990.256146500937,2180.09690215005
7,"AC","Acropora cytherea",2013,2180.09690215005,2149.08896124355
8,"AC","Acropora cytherea",2009,1839.36289998882,2915.95130512634
8,"AC","Acropora cytherea",2010,2915.95130512634,2294.06852416162
8,"AC","Acropora cytherea",2011,2294.06852416162,904.201105834867
8,"AC","Acropora cytherea",2012,904.201105834867,337.547144510317
9,"AC","Acropora cytherea",2009,6771.50304484763,8771.82733792129
9,"AC","Acropora cytherea",2010,8771.82733792129,11113.9952580456
9,"AC","Acropora cytherea",2011,11113.9952580456,6727.69703156109
9,"AC","Acropora cytherea",2012,6727.69703156109,3328.20580085756
10,"AC","Acropora cytherea",2009,2395.27795877525,2858.86938493805
10,"AC","Acropora cytherea",2010,2858.86938493805,3426.84632565726
10,"AC","Acropora cytherea",2011,3426.84632565726,881.85110976357
11,"AC","Acropora cytherea",2009,708.30078569912,668.019352964927
11,"AC","Acropora cytherea",2010,668.019352964927,1153.55753992501
11,"AC","Acropora cytherea",2011,1153.55753992501,1349.22396937973
12,"AC","Acropora cytherea",2009,1177.10670529333,1617.41869837007
12,"AC","Acropora cytherea",2010,1617.41869837007,1730.02995613698
12,"AC","Acropora cytherea",2011,1730.02995613698,707.681348875976
12,"AC","Acropora cytherea",2012,707.681348875976,177.955828864327
15,"AC","Acropora cytherea",2009,1226.07109688142,1884.41077064729
15,"AC","Acropora cytherea",2010,1884.41077064729,2622.97595156502
15,"AC","Acropora cytherea",2011,2622.97595156502,1769.13653127424
15,"AC","Acropora cytherea",2012,1769.13653127424,386.419749452872
15,"AC","Acropora cytherea",2013,386.419749452872,36.987081491451
16,"AC","Acropora cytherea",2009,3607.15191944955,3069.10265313346
16,"AC","Acropora cytherea",2010,3069.10265313346,3274.62576689741
17,"AC","Acropora cytherea",2009,1506.50073133955,2326.8899005994
17,"AC","Acropora cytherea",2010,2326.8899005994,3441.18024313921
19,"AC","Acropora cytherea",2009,104.704252101521,148.428349346287
19,"AC","Acropora cytherea",2010,148.428349346287,218.103930012039
20,"AC","Acropora cytherea",2009,176.176554882806,365.378659386888
21,"AC","Acropora cytherea",2009,1898.27638535892,2827.41589747627
21,"AC","Acropora cytherea",2010,2827.41589747627,4298.51045152436
21,"AC","Acropora cytherea",2011,4298.51045152436,2689.5033363889
21,"AC","Acropora cytherea",2012,2689.5033363889,1229.83924959284
21,"AC","Acropora cytherea",2013,1229.83924959284,413.440109965363
22,"AC","Acropora cytherea",2009,616.469123120507,1164.9946349718
22,"AC","Acropora cytherea",2010,1164.9946349718,1570.39612439973
22,"AC","Acropora cytherea",2011,1570.39612439973,920.98651864111
24,"AC","Acropora cytherea",2009,2395.37700043894,2238.26024263442
24,"AC","Acropora cytherea",2010,2238.26024263442,1951.36129301108
24,"AC","Acropora cytherea",2011,1951.36129301108,2087.52051112839
25,"AC","Acropora cytherea",2009,229.389510273536,271.310189985259
26,"AC","Acropora cytherea",2009,4867.36320661858,6890.11433364911
26,"AC","Acropora cytherea",2010,6890.11433364911,6905.78969031685
29,"AC","Acropora cytherea",2009,15256.0531665217,17529.7903372089
29,"AC","Acropora cytherea",2010,17529.7903372089,7639.02020038825
29,"AC","Acropora cytherea",2011,7639.02020038825,10670.9794836487
29,"AC","Acropora cytherea",2012,10670.9794836487,10652.7759036035
29,"AC","Acropora cytherea",2013,10652.7759036035,9098.03133804692
30,"AC","Acropora cytherea",2009,3846.42719977696,720.398106376253
30,"AC","Acropora cytherea",2010,720.398106376253,830.641740536609
30,"AC","Acropora cytherea",2011,830.641740536609,951.050783630324
30,"AC","Acropora cytherea",2012,951.050783630324,426.281163569522
30,"AC","Acropora cytherea",2013,426.281163569522,73.5517570661722
