"colony_id","spp","species","year","observation_id","tag","image_id","photographer","photograph","area_id","area_outliner","area_cm2","perimeter_cm","circularity"
1,"AC","Acropora cytherea",2009,3,"30","AC0030_F3_T1_C","no_name","T1","633","erin",864.823847008916,230.43524304397,0.204663180023806
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_A_C","A","T","634","erin",2269.84844339881,310.817979680009,0.295253094561254
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_B_C","B","T","635","erin",1795.23740927475,326.168597067359,0.212054484998947
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T2_D_C","D","T2","636","erin",2195.43773748502,326.332839608207,0.259065409092088
1,"AC","Acropora cytherea",2011,5,"30","AC0030_F5_T_D_C","D","T","637","erin",3726.25902940279,347.329485090814,0.388150008886746
1,"AC","Acropora cytherea",2011,5,"30","AC0030_F5_T2_B_C","B","T2","638","erin",3595.92959541968,349.723390544137,0.369463622224872
1,"AC","Acropora cytherea",2012,1754,"30","AC0030_F6_T_B_C","B","T","639","erin",1076.42277432754,213.88122760154,0.295697331648278
1,"AC","Acropora cytherea",2012,1754,"30","AC0030_F6_T2_A_C","A","T2","640","erin",1298.14482245149,223.12222099165,0.327678057873907
1,"AC","Acropora cytherea",2011,5,"30","AC0030_F5_T_D_C","D","T","2905","paulina",3619.17015759027,404.378573304392,0.278126643635596
1,"AC","Acropora cytherea",2011,5,"30","AC0030_F5_T1_B_C","B","T1","2906","paulina",3813.67851887341,358.522814115329,0.372838156005739
1,"AC","Acropora cytherea",2009,3,"30","AC0030_F3_T1_C","no_name","T1","3408","mizue1",834.354038759859,226.08312565657,0.205127524521253
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_A_C","A","T","3409","mizue1",2254.24566247771,297.886143781033,0.319235001337269
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_B_C","B","T","3410","mizue1",1788.86751596557,337.660091204372,0.197164433344268
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T2_D_C","D","T2","3411","mizue1",2184.41578110407,271.314831319288,0.372904908119233
1,"AC","Acropora cytherea",2009,3,"30","AC0030_F3_T1_C","no_name","T1","4656","mizue2",837.245734012104,226.995965399453,0.204186267835901
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_A_C","A","T","4657","mizue2",2272.22654111464,293.356960657149,0.331794129366122
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_B_C","B","T","4658","mizue2",1805.44680898525,303.637285266828,0.246084558038567
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T2_D_C","D","T2","4659","mizue2",2187.47507383194,268.473183217718,0.381374062164967
1,"AC","Acropora cytherea",2009,3,"30","AC0030_F3_T1_C","no_name","T1","4817","mizue3",837.666448373717,222.092560760935,0.213409113373313
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_A_C","A","T","4818","mizue3",2283.92189928248,285.191616485669,0.352872328416767
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T_B_C","B","T","4819","mizue3",1816.93189835709,305.295805438048,0.24496657982998
1,"AC","Acropora cytherea",2010,4,"30","AC0030_F4_T2_D_C","D","T2","4820","mizue3",2185.61223717091,273.763600163432,0.366464213486271
1,"AC","Acropora cytherea",2013,2142,"1042","AC1042_F7_T_B_C","B","T","5004","mariana",606.661674973738,241.731247907499,0.130464043862566
